old_url,bo_table,wr_id,제목,분류(법률정보/성공사례/기타),월간유입(있으면),이관대상여부,new_url
/bbs/board.php?bo_table=sub3_1&wr_id=40,sub3_1,40,이혼상담드립니다.,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=41,sub3_1,41,개인채무,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=42,sub3_1,42,개인회생에 대해여,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=43,sub3_1,43,개인 회생 관련,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=44,sub3_1,44,상담 요청 합니다.,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=45,sub3_1,45,집,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=46,sub3_1,46,전세 계약 만료 전 이사,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=47,sub3_1,47,개인채무,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=48,sub3_1,48,상가 명도소송 문의.,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=49,sub3_1,49,주식회사 주주총회 안건 결의 하자,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=52,sub3_1,52,퇴거한 임차인 문제,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=53,sub3_1,53,부동산과의 소송 진행건.,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=54,sub3_1,54,대신 대출하여 민사소송 하려고합니다..,기타,,미정,/consultation
/bbs/board.php?bo_table=sub3_1&wr_id=55,sub3_1,55,눈길 직진차랑과 좌회전 차랑,기타,,미정,/consultation
